Company,Rating,Type,Good Review,Bad Review
Simform,3.6,IT Services & Consulting | Ahmedabad +3 other locations,Work Life Balance,"Promotions, Job Security, Work Satisfaction"
Venus Home Appliances,4.2,Consumer Electronics & Appliances | Chennai +33 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
Utkal Alumina International,4.3,Chemicals | Rayagada +13 other locations,,
IDMC,3.6,Industrial Machinery | Anand +15 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
Ziff Davis Performance Marketing,3.6,Marketing & Advertising | Pune +3 other locations,,
KC Overseas Education,3.6,EdTech | Nagpur +29 other locations,,
Groupe Lactalis,3.5,FMCG | Chennai +40 other locations,,
iLink Digital,2.9,IT Services & Consulting | Chennai +8 other locations,,
Anlage Infotech,3.3,IT Services & Consulting | Bengaluru +15 other locations,,
Career Launcher,3.8,Education & Training | New Delhi +42 other locations,Job Security,"Promotions, Salary, Skill Development"
Krishnapatnam Port,3.8,Ports & Shipping | Nellore +14 other locations,"Skill Development, Work Life Balance, Job Security","Promotions, Salary"
Continental Hospitals,3.9,Healthcare | Hyderabad +3 other locations,Job Security,Promotions
Innovalance Learning Systems,3.2,EdTech | New Delhi +11 other locations,,
Aarav Global Products & Services Private Limited,2.9,IT Services & Consulting | Mumbai +9 other locations,,
Shree Vasu Logistics Limited,3.3,Logistics | Raipur +24 other locations,,
Zivame.com,3.6,Fashion & Textile | Bengaluru +29 other locations,Skill Development,"Promotions, Salary, Company Culture"
Elin Electronics,3.9,Ghaziabad +10 other locations,Skill Development,"Promotions, Company Culture, Work Satisfaction"
Sterling Talent Solutions,3.7,Internet | Mumbai +3 other locations,Company Culture,"Promotions, Job Security, Salary"
SCON Projects,4.5,Engineering & Construction | Pune +21 other locations,,
Bajaj Markets,3.0,FinTech | Pune +21 other locations,,
FedServ,3.6,Banking | Visakhapatnam +26 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
Hyundai Motor India Engineering,3.9,IT Services & Consulting | Hyderabad +9 other locations,"Job Security, Work Life Balance",Promotions
Bhima Gold,3.8,Jewellery | Bengaluru +32 other locations,,
Exponentia.ai,3.8,Emerging Technologies | Mumbai +7 other locations,,
ACME Group,4.6,Internet | Gurugram +28 other locations,,
Country Club India,3.2,Hospitality | Hyderabad +27 other locations,,
Futaba Industrial Gujarat,4.4,Auto Components | Ahmedabad +11 other locations,,
Bioseed,4.2,Agriculture | Hyderabad +58 other locations,,
Malayala Manorama,3.6,Printing & Publishing | Kottayam +23 other locations,Work Life Balance,"Promotions, Skill Development, Salary"
Alpha Design Technologies,3.6,Defence & Aerospace | Bengaluru +13 other locations,Work Life Balance,"Promotions, Company Culture, Salary"
Motion Education,3.3,Education & Training | Kota +43 other locations,,
Deep Industries,3.5,Oil & Gas | Ahmedabad +26 other locations,,
Fleet Management,4.0,Ports & Shipping | Mumbai +22 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
SkillVertex,3.3,EdTech | Bengaluru +11 other locations,,
Little Nap Recliners,4.7,Furniture & Furnishing | New Delhi +18 other locations,,
AARGEE STAFFING SERVICES,3.7,Recruitment | Chennai +17 other locations,,
Commerce Pundit,4.3,IT Services & Consulting | Ahmedabad +8 other locations,,
Tbea Energy,3.8,Electrical Equipment | Vadodara +19 other locations,,
PagarBook,3.6,Software Product | Bengaluru +25 other locations,,
Country Inns & Suites,4.1,Hospitality | New Delhi +25 other locations,,
Kh Exports,3.9,Import & Export | Chennai +7 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions
Rajesh Motors,3.8,Automobile | Jaipur +28 other locations,,
Jagran Prakashan,3.5,Printing & Publishing | New Delhi +50 other locations,,
IntelliSmart Infrastructure,3.6,Power | Gurugram +34 other locations,,
Corrival Corporate Services,4.2,Recruitment | Hyderabad +46 other locations,"Company Culture, Work Life Balance, Skill Development",Promotions
Josh Talks,4.2,Broadcasting | Gurugram +14 other locations,,
Mitsubishi Heavy Industries,4.2,Industrial Machinery | Mysuru +31 other locations,,
Ichhapurti.com,2.4,Software Product | Gurugram +26 other locations,,
ARaymond,4.0,Auto Components | Pune +5 other locations,,
Six Sigma Soft Solutions,3.5,IT Services & Consulting | Chennai +23 other locations,,
Crimson Interactive,2.5,Content Development | Mumbai +5 other locations,,
TransPerfect,3.0,Hardware & Networking | Pune +7 other locations,,
ITCube Solutions,3.0,IT Services & Consulting | Pune +8 other locations,,
Blackbuck Insights,3.6,IT Services & Consulting | Bengaluru +13 other locations,Work Life Balance,"Promotions, Job Security, Work Satisfaction"
Entertainment Network India,3.4,Media & Entertainment | Mumbai +42 other locations,Company Culture,"Promotions, Salary, Job Security"
Roulunds Braking,3.7,Auto Components | Sonipat +8 other locations,,
EMCO,3.7,Power | Mumbai +25 other locations,,
International Certification Services,3.1,Other | Mumbai +34 other locations,,
ICA Pidilite,4.1,Furniture & Furnishing | Mumbai +42 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
Brnd.Me,3.8,Internet | Bengaluru +14 other locations,,
ACT Plast Paints,3.8,Chemicals | Chennai +13 other locations,Skill Development,"Promotions, Salary"
YouTube,4.5,Internet | New Delhi +41 other locations,,
Centrient Pharmaceuticals,3.7,Pharma | Chandigarh +17 other locations,,
Shanthi Gears,3.3,Auto Components | Coimbatore +13 other locations,Skill Development,"Promotions, Company Culture, Work Life Balance"
SAS,4.2,IT Services & Consulting | Pune +21 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Network Techlab,3.7,Hardware & Networking | Mumbai +10 other locations,Skill Development,"Promotions, Salary, Company Culture"
Network Intelligence India,3.2,Emerging Technologies | Mumbai +8 other locations,,
Liebherr Appliances India,3.6,Industrial Machinery | Chhatrapati Sambhajinagar +37 other locations,,
Gulbrandsen,4.1,Chemicals | Vadodara +11 other locations,,
Ayesa,4.0,IT Services & Consulting | New Delhi +12 other locations,"Work Life Balance, Work Satisfaction",Promotions
ARKA Fincap,4.2,NBFC | Mumbai +40 other locations,,
Wanbury,3.3,Pharma | Mumbai +31 other locations,,
Motorola Solutions,3.9,Telecom | Bengaluru +25 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
Ways2excel,4.5,EdTech | Kolkata +1 other locations,,
Colorbar Cosmetics,4.1,Beauty & Personal Care | New Delhi +37 other locations,"Work Life Balance, Salary, Company Culture",Promotions
Sri Ramachandra Institute of Higher Education and Research,3.9,Education & Training | Chennai +10 other locations,"Job Security, Skill Development, Work Life Balance","Promotions, Salary"
Vinsum Axpress,3.5,Logistics | Gurugram +22 other locations,,
Aditi Consulting,3.4,IT Services & Consulting | Bengaluru +7 other locations,,
Pradhan Mantri Kaushal Vikas Yojana,4.1,Education & Training | New Delhi +90 other locations,,
Brainium Information Technologies,3.7,IT Services & Consulting | Kolkata +1 other locations,Work Life Balance,"Job Security, Promotions"
Precision Camshafts,3.1,Auto Components | Solapur +5 other locations,,
SmartWorld Developers,4.1,Real Estate | Gurugram +3 other locations,,
NuSummit,3.3,IT Services & Consulting | Mumbai +11 other locations,,
Revolt Motors,3.4,Internet | Gurugram +23 other locations,,
Supreme Treon,3.9,Auto Components | Pune +26 other locations,"Job Security, Work Life Balance","Promotions, Salary"
Carzonrent,3.3,Travel & Tourism | New Delhi +15 other locations,,
Haldiram's Prabhuji,2.9,Hospitality | Kolkata +42 other locations,,
Vinculum Solutions,2.3,IT Services & Consulting | Noida +6 other locations,,
SmartStream Technologies,3.3,IT Services & Consulting | Bengaluru +6 other locations,,
Army Medical Corps,4.8,Healthcare | New Delhi +34 other locations,,
Rishabh Instruments Limited,3.9,Electronics Manufacturing | Nashik +16 other locations,"Job Security, Skill Development, Company Culture",Salary
Zen Technologies,4.0,Defence & Aerospace | Hyderabad +9 other locations,,
Apex Hospital,4.1,Healthcare | Jaipur +34 other locations,,
CodSoft,3.8,New Delhi +37 other locations,"Work Life Balance, Skill Development","Salary, Promotions, Company Culture"
BajajSons,3.6,Automobile | Ludhiana +9 other locations,,
Altum Credo Home Finance,3.8,NBFC | Pune +61 other locations,Salary,Promotions
Pacific Development Corporation Limited (Pacific Group),3.6,Real Estate | New Delhi +20 other locations,,
CBSI,3.3,Recruitment | Bengaluru +14 other locations,,
Su-Kam Power Systems,3.4,Power | Gurugram +44 other locations,,
IFB Automotive,3.8,Auto Components | Bengaluru +18 other locations,,
Sagitec Solutions,3.3,IT Services & Consulting | Pune +5 other locations,,
InSync Analytics,2.4,Analytics & KPO | Mumbai +5 other locations,,
Praxis home Retail,4.1,Retail | Mumbai +29 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions
Gujarat Narmada Valley Fertilizers & Chemicals,4.3,Agro Chemicals | Bharuch +16 other locations,,
Crossword Bookstores,3.5,Retail | Pune +34 other locations,,
Parker Hannifin,3.6,Industrial Machinery | Chennai +14 other locations,,
Praxis home Retail,4.1,Retail | Mumbai +29 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions
CBSI,3.3,Recruitment | Bengaluru +14 other locations,,
Crossword Bookstores,3.5,Retail | Pune +34 other locations,,
Lokesh Machines,3.8,Industrial Machinery | Hyderabad +12 other locations,Work Life Balance,"Promotions, Salary, Company Culture"
IFB Automotive,3.8,Auto Components | Bengaluru +18 other locations,,
Marque Impex,3.9,Import & Export | Moradabad +5 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions
Axio,3.8,Financial Services | Bengaluru +26 other locations,"Company Culture, Salary",Promotions
Igarashi Motors,3.8,Auto Components | Chennai +10 other locations,"Job Security, Skill Development, Work Life Balance","Promotions, Salary"
Air India Express,3.2,Aviation | New Delhi +26 other locations,,
Wardwizard Innovations & Mobility,3.3,Automobile | Vadodara +51 other locations,,
Srg Housing Finance,4.0,NBFC | Udaipur +61 other locations,,
InSync Analytics,2.4,Analytics & KPO | Mumbai +5 other locations,,
Hidesign,3.0,Retail | Puducherry +31 other locations,,
Development Consultants,3.3,IT Services & Consulting | Kolkata +16 other locations,"Work Life Balance, Job Security","Promotions, Salary, Skill Development"
Lingaya's Vidyapeeth,4.5,Education & Training | Faridabad +4 other locations,,
Sagitec Solutions,3.3,IT Services & Consulting | Pune +5 other locations,,
BTL EPC LTD,3.6,Industrial Machinery | Kolkata +20 other locations,,
Smart Energy Water,2.9,IT Services & Consulting | Noida +4 other locations,,
Bhutani Group,4.2,Real Estate | Noida +14 other locations,,
Embassy Services,3.9,Facility Management Services | Bengaluru +16 other locations,"Work Life Balance, Company Culture, Salary",Promotions
Smart Energy Water,2.9,IT Services & Consulting | Noida +4 other locations,,
Bhutani Group,4.2,Real Estate | Noida +14 other locations,,
Parker Hannifin,3.6,Industrial Machinery | Chennai +14 other locations,,
Comcast India Engineering Center,3.7,Software Product | Chennai +3 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
ASP OL Media,4.0,Marketing & Advertising | Pune +6 other locations,,
MeritNation,3.2,EdTech | New Delhi +20 other locations,,
KisanKraft Machine Tools,3.3,Industrial Machinery | Bengaluru +20 other locations,,
Sri Gopikrishna Infrastructure,3.9,Engineering & Construction | Hyderabad +44 other locations,"Work Life Balance, Work Satisfaction, Skill Development","Promotions, Salary"
Bombay Dyeing,3.8,Fashion & Textile | Mumbai +22 other locations,"Work Life Balance, Job Security","Promotions, Salary"
Radhakrishna Foodland,3.6,Logistics | Mumbai +32 other locations,,
Petronas Lubricants,3.2,Petrochemicals | Mumbai +37 other locations,,
Siemens PLM Software,4.0,Industrial Automation | Pune +12 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
Sapphire Software Solutions (India),4.4,IT Services & Consulting | Ahmedabad +5 other locations,,
Masu Brakes,3.4,Auto Components | Bahadurgarh +9 other locations,,
Skandhanshi Infra Projects,4.3,Real Estate | Kurnool +9 other locations,,
Geo Chem Laboratories,3.7,Industrial Machinery | Mumbai +21 other locations,Skill Development,"Promotions, Salary, Company Culture"
Truemeds,3.5,Pharma | Mumbai +22 other locations,,
Shirdi Sai Electricals,3.6,Power | Y.S.R. Kadapa +26 other locations,Job Security,"Promotions, Salary, Company Culture"
OptimHire,3.6,Internet | Hyderabad +6 other locations,Work Life Balance,"Salary, Job Security, Promotions"
Sri Gopikrishna Infrastructure,3.9,Engineering & Construction | Hyderabad +44 other locations,"Work Life Balance, Work Satisfaction, Skill Development","Promotions, Salary"
Autoline Industries,3.5,Auto Components | Pune +20 other locations,,
Horiba India,3.5,Industrial Machinery | New Delhi +20 other locations,,
Embio,4.0,Pharma | Mahad +10 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
Orthosquare Dental Clinic,4.4,Healthcare | Mumbai +26 other locations,,
dsm-firmenich,4.0,Biotechnology | Mumbai +17 other locations,"Work Life Balance, Salary, Company Culture",Promotions
MAKEEN Energy,3.8,Oil & Gas | Hyderabad +31 other locations,Job Security,"Promotions, Company Culture, Work Life Balance"
eligarf Technologies,3.9,Emerging Technologies | Pune +2 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
St Regis,4.1,Hospitality | Mumbai +13 other locations,"Job Security, Skill Development, Company Culture",Promotions
SpeedLabs,3.6,EdTech | Mumbai +16 other locations,,
Eurofins Scientific,3.2,"Testing, Inspection and Certification (TIC) | Bengaluru +20 other locations",,
AISATS,3.4,Aviation | New Delhi +10 other locations,,
Andhra Pradesh State Skill Development Corporation,3.7,Non-Profit | Vijayawada +34 other locations,"Skill Development, Work Satisfaction","Job Security, Promotions, Salary"
Pie Infocomm,4.4,IT Services & Consulting | Lucknow +8 other locations,,
TRIGO Group,2.6,Auto Components | Chennai +27 other locations,,
Emiza Supply Chain Services Private Limited,3.5,Logistics | Mumbai +19 other locations,,
Transaction Solutions International (India) Pvt Ltd,3.8,Financial Services | Pune +20 other locations,"Company Culture, Work Life Balance",Promotions
Jay Ushin,4.0,Auto Components | Gurugram +13 other locations,"Work Life Balance, Work Satisfaction, Company Culture",Promotions
ICE Data Services,3.3,Financial Services | Hyderabad +5 other locations,,
Webasto Roofsystems India,4.0,Automobile | Pune +9 other locations,"Company Culture, Work Life Balance, Salary",Promotions
Vnr Seeds,3.8,Agriculture | Raipur +49 other locations,Skill Development,"Promotions, Salary"
Janatics India,4.0,Industrial Automation | Coimbatore +26 other locations,"Work Life Balance, Job Security",Promotions
Techmagnate,4.3,Marketing & Advertising | New Delhi +6 other locations,,
Besant Technologies,3.7,Education & Training | Chennai +11 other locations,,
Sakarni Plaster,4.5,Building Material | New Delhi +34 other locations,,
Shriram Fortune Solutions,3.6,Financial Services | Gurugram +97 other locations,,
Vishay Components,4.1,Electronics Manufacturing | Pune +7 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Simplify Healthcare,2.5,Software Product | Pune +3 other locations,,
Quest Diagnostics,4.5,Healthcare | Hyderabad +11 other locations,,
Izmo,3.0,IT Services & Consulting | Bengaluru +5 other locations,,
ECOS (I) MOBILITY & HOSPITALITY,4.2,Sports & Recreation | New Delhi +12 other locations,,
Lrs Services,3.9,IT Services & Consulting | Noida +24 other locations,,
Orange Retail Finance,3.9,Financial Services | Chennai +55 other locations,,
Philip Morris International,4.2,FMCG | New Delhi +49 other locations,"Work Life Balance, Company Culture, Salary","Promotions, Skill Development"
Globus Spirits,3.9,Beverage | New Delhi +28 other locations,"Salary, Job Security",Promotions
ZKTeco Biometrics,3.0,Law Enforcement & Security | Bengaluru +11 other locations,,
Oasis Infobyte,4.0,IT Services & Consulting | Pune +30 other locations,"Work Life Balance, Skill Development","Salary, Promotions, Job Security"
Anglo-Eastern Ship Management,4.1,Ports & Shipping | Mumbai +15 other locations,,
Bharat Broadband Network,3.9,Telecom | New Delhi +71 other locations,"Work Life Balance, Company Culture, Work Satisfaction","Promotions, Job Security, Salary"
Sahajanand Laser Technology,3.2,Industrial Machinery | Gandhinagar +23 other locations,,
Croma Campus,3.3,Education & Training | Noida +16 other locations,,
Hgs Services,3.8,Analytics & KPO | Bengaluru +20 other locations,"Company Culture, Job Security","Promotions, Salary"
Enmas O & M Services,4.1,Oil & Gas | Chennai +32 other locations,,
CENTRUM HOUSING FINANCE,4.0,Financial Services | Mumbai +71 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions
Grass Roots Research & Creation,4.7,Analytics & KPO | New Delhi +14 other locations,,
Tresor Systems,3.7,Retail | New Delhi +27 other locations,,
Hi Tech Informatics,3.5,IT Services & Consulting | Bengaluru +48 other locations,,
ZunRoof Tech,3.7,Power | Gurugram +21 other locations,,
Wings Biotech,3.0,Pharma | New Delhi +33 other locations,,
One Point Solutions,3.3,Bengaluru +14 other locations,,
Emirates Flight Catering,4.4,Hospitality | Dubai +12 other locations,,
Sakura Autoparts,3.7,Auto Components | Chennai +9 other locations,Company Culture,"Promotions, Work Satisfaction"
Rajapushpa Properties,3.9,Real Estate | Hyderabad +5 other locations,"Work Life Balance, Job Security",Promotions
India Post Payments Bank,4.3,Government | New Delhi +91 other locations,,
REPUBLIC MEDIA NETWORK,3.4,Media & Entertainment | Noida +9 other locations,,
Amphenol Fci,3.8,Electrical Equipment | Bengaluru +10 other locations,,
KP GROUP,4.2,Logistics | Surat +31 other locations,,
Primary Health Centre,4.2,Healthcare | Bengaluru +91 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Tata Power Renewable Energy,4.0,Power | Bengaluru +40 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
IIMT Group of Colleges,4.1,Education & Training | Greater Noida +15 other locations,,
Kama Ayurveda,4.0,Beauty & Personal Care | New Delhi +30 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions
University Living Accommodation,3.9,Internet | Noida +6 other locations,,
ACUTAAS CHEMICALS LIMITED,3.7,Pharma | Surat +8 other locations,Salary,"Promotions, Company Culture, Work Life Balance"
Sigma Freudenberg NOK,4.1,Auto Components | Chennai +18 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Vegrow,3.8,Internet | Bengaluru +28 other locations,"Company Culture, Salary","Job Security, Promotions"
Nisum,2.7,IT Services & Consulting | Hyderabad +9 other locations,,
Mazars,3.0,Accounting & Auditing | Gurugram +14 other locations,,
Sendan International Co,2.2,Engineering & Construction | Al Jubail +20 other locations,,
Ashv Finance,4.0,NBFC | Mumbai +37 other locations,,
Evonith Steel,3.9,Iron & Steel | Wardha +7 other locations,"Job Security, Work Life Balance",Promotions
Marengo Asia Hospitals,4.0,Healthcare | Gurugram +6 other locations,,
Manitou Equipment India,4.1,Industrial Machinery | Greater Noida +12 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Ludhiana Beverages,3.9,Beverage | Ludhiana +11 other locations,"Job Security, Skill Development, Company Culture",Promotions
Tata Asset Management Private Limited,3.8,Financial Services | Mumbai +55 other locations,Work Life Balance,"Promotions, Work Satisfaction"
Schreiber Dynamix Dairies,3.9,Electronics Manufacturing | Pune +16 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Alghanim International,4.2,Engineering & Construction | Kuwait City +13 other locations,"Work Life Balance, Salary, Work Satisfaction",Promotions
Mantra Softech,3.7,IT Services & Consulting | Ahmedabad +23 other locations,"Job Security, Work Life Balance","Promotions, Skill Development, Salary"
Solugenix India Private Limited,3.1,IT Services & Consulting | Hyderabad +3 other locations,,
Logicon Facility Management,3.2,Facility Management Services | Pune +14 other locations,,
UFO Moviez,3.0,Hospitality | Mumbai +31 other locations,,
SMC Power Generation,3.6,Iron & Steel | Jharsuguda +12 other locations,,
Nisum,2.7,IT Services & Consulting | Hyderabad +9 other locations,,
Beckman Coulter,3.3,Medical Equipment | Bengaluru +19 other locations,,
Mazars,3.0,Accounting & Auditing | Gurugram +14 other locations,,
Vrinsoft Technology,4.5,IT Services & Consulting | Ahmedabad +2 other locations,,
Skypro Technologies,3.3,IT Services & Consulting | Bengaluru +33 other locations,,
DTC Projects,3.8,Real Estate | Kolkata +9 other locations,,
Infojini,2.8,IT Services & Consulting | Mumbai +11 other locations,,
Al Ahleia Switchgear,3.5,Industrial Machinery | Chennai +12 other locations,,
KayBee Bio Organics,3.8,Agro Chemicals | Pune +16 other locations,,
HIVELOOP LOGISTICS,4.2,Bengaluru +69 other locations,"Salary, Work Life Balance, Skill Development",Job Security
JSW Severfield Structures,3.7,Engineering & Construction | Ballari +11 other locations,,
UTI Asset Management Company,3.8,Financial Services | Mumbai +63 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction"
BPO+,4.4,BPO | New Delhi +46 other locations,,
Ksolves India Limited,2.9,IT Services & Consulting | Noida +12 other locations,,
PP Rolling Mills,3.7,Industrial Machinery | Faridabad +10 other locations,,
Aress Software and Education Technologies,2.5,IT Services & Consulting | Nashik +4 other locations,,
Sula Vineyards,4.0,Food Processing | Nashik +17 other locations,"Work Life Balance, Company Culture","Job Security, Promotions"
IDBI Capital,3.7,Financial Services | Mumbai +40 other locations,Work Life Balance,"Promotions, Salary, Skill Development"
Gates,3.4,Industrial Automation | Faridabad +21 other locations,,
Shopclues,3.3,Internet | Gurugram +6 other locations,,
Rama University,3.3,Education & Training | Kanpur +12 other locations,,
MYND Intergrated Solutions,3.4,BPO | Gurugram +14 other locations,,
Valethi Technologies,3.1,Analytics & KPO | Nagpur +6 other locations,,
TechStar Group,4.1,IT Services & Consulting | Hyderabad +9 other locations,,
Tech Mahindra Foundation,4.0,Non-Profit | New Delhi +23 other locations,"Work Life Balance, Work Satisfaction, Company Culture",Promotions
WinWire,3.3,IT Services & Consulting | Hyderabad +5 other locations,,
TNT Express,4.0,Logistics | Mumbai +33 other locations,,
CRB Tech Solution,3.7,EdTech | Pune +8 other locations,,
S.c Johnson Products,4.0,FMCG | Gurugram +52 other locations,"Work Life Balance, Company Culture, Salary",Promotions
HOLITECH INDIA,4.1,Electronics Manufacturing | Greater Noida +12 other locations,,
Ganesh Grains,3.1,FMCG | Kolkata +24 other locations,,
Barbrik Project Limited (PRA Group),3.6,Engineering & Construction | Raipur +27 other locations,,
Tm Automotive Seating Systems,,Auto Components | Pune +14 other locations,,
Kirloskar Technologies,4.0,Medical Equipment | Jaipur +36 other locations,,
SSEM,3.3,Industrial Machinery | Riyadh +18 other locations,,
Taikisha Engineering India,3.9,Industrial Machinery | Pune +14 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
Manika Plastech Private Limited,3.9,Building Material | Dehradun +16 other locations,,
Prasol Chemicals,3.5,Chemicals | Mumbai +10 other locations,,
Ramoji Film City,4.2,Events | Hyderabad +11 other locations,"Job Security, Work Life Balance, Work Satisfaction",Promotions
S.c Johnson Products,4.0,FMCG | Gurugram +52 other locations,"Work Life Balance, Company Culture, Salary",Promotions
HOLITECH INDIA,4.1,Electronics Manufacturing | Greater Noida +12 other locations,,
Taikisha Engineering India,3.9,Industrial Machinery | Pune +14 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
Manika Plastech Private Limited,3.9,Building Material | Dehradun +16 other locations,,
TomTom,3.7,IT Services & Consulting | Pune +2 other locations,"Work Life Balance, Company Culture, Work Satisfaction","Promotions, Job Security"
Fisdom,3.2,Financial Services | Bengaluru +32 other locations,,
Flender,3.7,Industrial Machinery | Chennai +5 other locations,"Work Life Balance, Job Security","Promotions, Salary"
alliantgroup,2.2,Management Consulting | Hyderabad +3 other locations,,
NullClass,3.4,Bengaluru +25 other locations,,
Brainware University,2.8,Education & Training | Kolkata +2 other locations,,
Getix Health,3.8,Analytics & KPO | Bengaluru +6 other locations,Work Life Balance,Promotions
Mukand Sumi Special Steel,3.8,Iron & Steel | Hosapete +9 other locations,,
Hyundai Engineering,3.9,Engineering & Construction | Chennai +24 other locations,"Work Life Balance, Salary","Job Security, Promotions"
Samkwang India Electronic,3.3,Electronics Manufacturing | Greater Noida +10 other locations,,
Dhampur Sugar Mills,3.9,Agro Chemicals | New Delhi +15 other locations,,
Tokai Imperial Rubber India,3.9,Industrial Machinery | Faridabad +11 other locations,,
Odisha Power Generation Corporation,3.7,Oil & Gas | Jharsuguda +11 other locations,"Work Life Balance, Job Security","Promotions, Company Culture, Skill Development"
Destek Infosolutions,3.9,IT Services & Consulting | Pune +4 other locations,,
MiM-Essay,4.5,Education & Training | New Delhi +2 other locations,,
Thejo Engineering,4.0,Engineering & Construction | Chennai +34 other locations,"Job Security, Work Life Balance",Promotions
Mfine,3.5,Internet | Bengaluru +15 other locations,,
B2x Service Solutions,3.9,BPO | Mumbai +32 other locations,"Work Life Balance, Skill Development, Work Satisfaction","Promotions, Job Security"
Prem Henna,3.3,Beauty & Personal Care | Indore +51 other locations,,
UST BlueConch Technologies,3.6,Software Product | Pune +6 other locations,Work Life Balance,"Promotions, Job Security, Work Satisfaction"
Symphoni HR,4.0,Recruitment | Mumbai +1 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions
MiM-Essay,4.5,Education & Training | New Delhi +2 other locations,,
DGS Technical Services,3.2,Design | Bengaluru +11 other locations,,
Thejo Engineering,4.0,Engineering & Construction | Chennai +34 other locations,"Job Security, Work Life Balance",Promotions
AccSource KPO,3.0,Accounting & Auditing | Chennai +4 other locations,,
In2IT Technologies,3.1,IT Services & Consulting | Noida +15 other locations,,
Integrated Resources,3.8,Recruitment | Gurugram +6 other locations,,
MKU,3.3,Defence & Aerospace | Kanpur +10 other locations,,
Peps Industries,4.1,Furniture & Furnishing | Coimbatore +46 other locations,"Work Life Balance, Job Security, Skill Development",Promotions
Tripjack,3.9,Travel & Tourism | Mumbai +12 other locations,,
Gulf Asia Contracting,3.3,Engineering & Construction | Chennai +21 other locations,Job Security,"Company Culture, Promotions, Salary"
Exel Rubber,4.0,Petrochemicals | Hyderabad +10 other locations,"Work Life Balance, Salary, Company Culture",Promotions
Nippon Data Systems,3.4,IT Services & Consulting | New Delhi +28 other locations,,
House Of Diagnostics,4.1,Healthcare | New Delhi +5 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
SACHA Engineering,3.4,IT Services & Consulting | Chennai +9 other locations,,
Samsung Semiconductor,3.2,Semiconductors | Bengaluru +7 other locations,Job Security,"Promotions, Company Culture, Work Satisfaction"
Jabsons Foods,4.1,Food Processing | Bharuch +34 other locations,,
Biophore India Pharmaceuticals,3.4,Pharma | Hyderabad +4 other locations,,
Dollar Industries,3.6,Fashion & Textile | Kolkata +33 other locations,,
Beyond Key,4.2,IT Services & Consulting | Indore +5 other locations,,
Black & Veatch,4.2,Engineering & Construction | Mumbai +13 other locations,,
Nutanix,3.4,Software Product | Bengaluru +6 other locations,,
Jasmin Infotech,4.0,Software Product | Chennai +2 other locations,,
Exeltis,4.0,Pharma | Mumbai +38 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions
Doubletree By Hilton,3.9,Hospitality | Gurugram +21 other locations,,
Avaali Solutions,4.4,IT Services & Consulting | Bengaluru,,
ReGen Powertech,3.7,Power | Chennai +22 other locations,,
Prologic Web Solutions,3.9,IT Services & Consulting | Noida +20 other locations,,
Biorad Medisys,3.7,Healthcare | Pune +13 other locations,,
Ascendum KPS,3.6,IT Services & Consulting | Ahmedabad +9 other locations,,
Vensure Employer Services,3.7,Recruitment | Noida +4 other locations,,
World Health Organization,4.0,Government | New Delhi +90 other locations,"Work Satisfaction, Salary, Company Culture","Job Security, Promotions"
DigiCall Teleservices,4.0,Telecom | Noida +13 other locations,,
Springbord Systems,4.1,IT Services & Consulting | Chennai +11 other locations,,
IILM,4.0,Education & Training | New Delhi +9 other locations,,
Dalmia-OCL,3.9,Building Material | Rourkela +30 other locations,"Skill Development, Job Security, Company Culture","Promotions, Work Life Balance"
Adhaan Solutions,3.8,Recruitment | Ahmedabad +65 other locations,,
Roots Multiclean,3.8,Industrial Machinery | Coimbatore +27 other locations,Job Security,Promotions
Talentica Software,4.0,IT Services & Consulting | Pune +5 other locations,,
Wingreens Farms,4.0,FMCG | Gurugram +21 other locations,"Work Life Balance, Company Culture, Salary",Promotions
Daffodil Software,3.2,IT Services & Consulting | Gurugram +7 other locations,,
